Wood Type,Sub-Type / Description,Thickness,Pricing
Acacia,,4/4,$11.95
African Mahogany,,16/4,$14.95
African Padauk,,4/4,$10.95
African Teak,,4/4,$10.95
African Teak,,8/4,$11.95
Alder,,4/4,$7.95
Amazakoue,,4/4,$13.50
Ambrosia Maple,  ,4/4,$5.50
Ambrosia Maple,,12/4,$9.50
Ash,,4/4,$5.25
Ash,,5/4,$5.95
Ash,,12/4,$7.95
Ash,,6/4,$6.95
Ash,,8/4,$6.95
Avodire,,4/4,$7.50
Basswood,,4/4,$4.20
Basswood,,8/4,$6.25
Basswood,,16/4,$10.50
Beech,,4/4,$4.20
Black Limba,,4/4,$10.95
Black Limba,,8/4,$12.95
Black Mesquite,,4/4,$13.50
Black Walnut,,4/4,$14.50
Black Walnut,,5/4,$15.95
Black Walnut,,6/4,$15.95
Black Walnut,,8/4,$16.95
Black Walnut,,12/4,$18.95
Bloodwood,,4/4,$13.95
Bocote,,5/4,$32.50
Bolivian Rosewood,,5/4,$24.50
Bubinga,,4/4,$12.95
Butternut,,4/4,$7.95
Butternut,,8/4,$10.95
Canarywood,,5/4,$15.95
Canarywood,,4/4,$11.95
Canarywood,,8/4,$12.50
Carribean Rosewood,,4/4,$14.95
Che Chen,,5/4,$19.50
Cherry,,8/4,$9.50
Cherry,,16/4,$13.50
Cherry,,6/4,$8.95
Cherry,,6/4,$8.95
Cherry, ,4/4,$8.95
Cherry,,12/4,$11.50
Cumaru,,4/4,$8.50
Cypress,,4/4,$9.50
Cypress,,8/4,$11.50
Ebony,,4/4,$112.00
Goibao(Yellow Heart alt),,4/4,$9.75
Gombe,,4/4,$7.95
Goncalo Alves,,5/4,$15.95
Goncalo Alves,,4/4,$9.75
Hickory,,8/4,$8.50
Hickory,,4/4,$5.95
Holly,,4/4,$37.50
Iroko,,4/4,$11.95
Jatoba,,4/4,$10.50
Katalox,,5/4,$19.50
Kiaat,,4/4,$12.95
Lacewood,,4/4,$16.95
Lacewood,,8/4,$16.95
Lati,,4/4,$11.25
Leopardwood,,4/4,$15.50
Macacauba,,5/4,$15.95
Macacauba,,4/4,$11.95
Maple,Birdseye Hard Maple,4/4,$11.95
Maple,Curly Hard Maple,4/4,$9.95
Maple,Hard Maple,4/4,$8.25
Maple,Hard Maple,5/4,$8.25
Maple,Hard Maple,6/4,$8.95
Maple,Hard Maple,8/4,$8.95
Maple,Hard Maple S2S,4/4,$6.60
Maple,Maple Curl,4/4,$8.50
Maple,,12/4,$12.75
Maple,,16/4,$12.75
Marblewood,,4/4,$11.95
Monkeywood,,5/4,$7.50
Morado (Bolivian Rosewood),,4/4,$19.95
Oak,Red Oak,4/4,$5.95
Oak,Red Oak,5/4,$5.95
Oak,Red Oak  ,6/4,$6.95
Oak,Red Oak  ,8/4,$6.95
Oak,White Oak,12/4,$18.50
Oak,White Oak - Quarter Sawn,4/4,$13.95
Oak,White Oak - Quarter Sawn,5/4,$12.95
Oak,White Oak - Quarter Sawn,6/4,$12.95
Oak,White Oak ,4/4,$9.75
Oak, Red,12/4,$8.75
Oak, Red - Quarter Sawn,4/4,$7.50
Olivewood,,4/4,$19.95
Olivewood,,5/4,$20.95
Olivewood,,8/4,$20.95
Osage Orange,,5/4,$15.95
Osage Orange,,4/4,$12.95
Patagonian Rosewood,,5/4,$15.95
Patagonian Rosewood,,4/4,$10.95
Pau Rosa,,4/4,$12.50
Peruvian Walnut,,4/4,$12.50
Poplar,,4/4,$5.25
Poplar,,8/4,$5.95
Purple Heart,,5/4,$19.95
Purple Heart,,4/4,$13.95
Purple Heart,,8/4,$13.95
Red Birch,,4/4,$6.50
Red Heart,,4/4,$19.95
Red Zebrawood (Ebiara),,4/4,$16.50
Sapele,,4/4,8/4,$8.75
Sipo (African Mahogany),,4/4,$7.50
Soft Maple,,4/4,$5.95
Soft Maple,,8/4,$7.95
Spanish Cedar,,4/4,$8.95
Spanish Cedar,,8/4,$10.95
Sycamore,,4/4,$6.95
Teak,,8/4,$39.95
Tigerwood,,4/4,$18.50
Wenge,,5/4,$19.95
Wenge,,4/4,$18.95
Yellow Heart,,5/4,$10.50
Zebrawood,,4/4,$19.95
Ziricote,,8/4,$49.50
Mesquite,,5/4,$15.95
